ticker,cik,name,cohort,year1,year2,filing_date,trade_start_date,nominal_1m,nominal_3m,nominal_6m,nominal_12m,excess_kre_1m,excess_kre_3m,excess_kre_6m,excess_kre_12m,note
TCBI,0001077428,Texas Capital Bancshares,regional_midcap,2020,2021,2022-02-09,2022-02-10,-0.115,-0.2555,-0.0829,-0.0304,-0.0559,-0.0617,0.0038,0.1002,
TCBI,0001077428,Texas Capital Bancshares,regional_midcap,2021,2022,2023-02-09,2023-02-10,-0.1679,-0.3429,-0.0557,-0.1548,0.1117,0.0748,0.1871,0.0756,
TCBI,0001077428,Texas Capital Bancshares,regional_midcap,2022,2023,2024-02-13,2024-02-14,0.0194,0.0662,0.0506,0.4204,0.016,-0.013,-0.0999,0.0282,
CBSH,0000022356,Commerce Bancshares,regional_midcap,2019,2020,2021-02-24,2021-02-25,0.0353,0.0211,-0.0593,-0.0391,0.0035,-0.0409,-0.0737,-0.1351,
CBSH,0000022356,Commerce Bancshares,regional_midcap,2020,2021,2022-02-23,2022-02-24,0.068,-0.0215,0.056,-0.0116,0.0461,0.0967,0.1147,0.0937,
CBSH,0000022356,Commerce Bancshares,regional_midcap,2021,2022,2023-02-22,2023-02-23,-0.1191,-0.2691,-0.2477,-0.1577,0.1693,0.0747,0.0271,0.0464,
CBSH,0000022356,Commerce Bancshares,regional_midcap,2022,2023,2024-02-22,2024-02-23,-0.0056,0.0638,0.2344,0.323,-0.0277,0.0382,0.0086,0.0065,
WBS,0000801337,Webster Financial Corp,regional_midcap,2019,2020,2021-02-26,2021-02-27,-0.0169,-0.0056,-0.089,0.0797,-0.028,-0.0726,-0.1039,-0.0599,
WBS,0000801337,Webster Financial Corp,regional_midcap,2020,2021,2022-02-25,2022-02-26,-0.0125,-0.1832,-0.1989,-0.1057,0.0079,-0.053,-0.058,0.0505,
WBS,0000801337,Webster Financial Corp,regional_midcap,2021,2022,2023-03-10,2023-03-11,-0.0138,0.0444,0.1547,0.3619,0.022,0.0657,0.1554,0.2237,
WBS,0000801337,Webster Financial Corp,regional_midcap,2022,2023,2024-02-27,2024-02-28,0.0786,-0.0806,0.0134,0.1909,0.0114,-0.0854,-0.2118,-0.1363,
PNFP,0001115055,Pinnacle Financial Partners,regional_midcap,2019,2020,2021-02-26,2021-02-27,0.0861,0.1048,0.1932,0.2357,0.075,0.0377,0.1784,0.0961,
PNFP,0001115055,Pinnacle Financial Partners,regional_midcap,2020,2021,2022-02-28,2022-03-01,-0.0094,-0.1406,-0.1408,-0.2298,-0.0137,-0.0603,-0.0489,-0.0997,
PNFP,0001115055,Pinnacle Financial Partners,regional_midcap,2021,2022,2023-02-28,2023-03-01,-0.2562,-0.3382,-0.0907,0.1105,0.0281,0.0196,0.1715,0.3051,
PNFP,0001115055,Pinnacle Financial Partners,regional_midcap,2022,2023,2024-02-26,2024-02-27,0.0285,-0.05,0.1805,0.3847,-0.0217,-0.0685,-0.021,0.0528,
BOKF,0000875357,BOK Financial Corp,regional_midcap,2019,2020,2021-02-24,2021-02-25,0.0503,0.0205,0.014,0.1395,0.0186,-0.0416,-0.0003,0.0435,
BOKF,0000875357,BOK Financial Corp,regional_midcap,2020,2021,2022-02-23,2022-02-24,0.0061,-0.1368,-0.0472,0.0969,-0.0158,-0.0187,0.0116,0.2022,
BOKF,0000875357,BOK Financial Corp,regional_midcap,2021,2022,2023-03-01,2023-03-02,-0.1731,-0.1815,-0.1749,-0.1423,0.0853,0.1462,0.0646,0.0316,
BOKF,0000875357,BOK Financial Corp,regional_midcap,2022,2023,2024-02-21,2024-02-22,0.0529,0.1188,0.2255,0.3051,0.0344,0.07,0.0613,-0.0052,
VLY,0000714310,Valley National Bancorp,regional_midcap,2019,2020,2021-02-26,2021-02-27,0.1128,0.1456,0.0805,0.1459,0.1018,0.0786,0.0656,0.0063,
VLY,0000714310,Valley National Bancorp,regional_midcap,2020,2021,2022-02-28,2022-03-01,0.0074,-0.0277,-0.088,-0.1123,0.0031,0.0526,0.0039,0.0178,
VLY,0000714310,Valley National Bancorp,regional_midcap,2021,2022,2023-03-01,2023-03-02,-0.1711,-0.3326,-0.1658,-0.2958,0.0873,-0.0049,0.0737,-0.1219,
VLY,0000714310,Valley National Bancorp,regional_midcap,2022,2023,2024-02-29,2024-03-01,-0.0379,-0.0986,0.1153,0.2113,-0.0622,-0.1328,-0.1194,-0.0591,
ONB,0000707179,Old National Bancorp,regional_midcap,2019,2020,2021-02-10,2021-02-11,0.1579,0.0986,-0.0493,0.0734,-0.0046,-0.0634,-0.1623,-0.1894,
ONB,0000707179,Old National Bancorp,regional_midcap,2020,2021,2022-02-10,2022-02-11,-0.0505,-0.1636,-0.0121,-0.0108,-0.0021,0.016,0.0622,0.1158,
ONB,0000707179,Old National Bancorp,regional_midcap,2021,2022,2023-02-22,2023-02-23,-0.1831,-0.2739,-0.1288,-0.0651,0.1053,0.0699,0.146,0.139,
ONB,0000707179,Old National Bancorp,regional_midcap,2022,2023,2024-08-15,2024-08-16,0.0235,0.1793,0.3225,0.1943,-0.0155,-0.0284,0.1363,0.0328,
FNB,0000037808,F.N.B. Corporation,regional_midcap,2019,2020,2021-02-25,2021-02-26,0.0669,0.1523,-0.0036,0.1783,0.0451,0.0463,-0.025,0.0047,
FNB,0000037808,F.N.B. Corporation,regional_midcap,2020,2021,2022-02-24,2022-02-25,-0.0292,-0.0963,-0.0711,0.1061,0.0035,0.0422,0.0509,0.2521,
FNB,0000037808,F.N.B. Corporation,regional_midcap,2021,2022,2023-02-24,2023-02-25,-0.1849,-0.199,-0.1716,-0.0311,0.0978,0.142,0.0977,0.1716,
FNB,0000037808,F.N.B. Corporation,regional_midcap,2022,2023,2024-02-26,2024-02-27,0.0356,0.0097,0.0822,0.123,-0.0146,-0.0088,-0.1193,-0.2089,
SSB,0000764038,SouthState Corporation,regional_midcap,2019,2020,2021-02-26,2021-02-27,-0.0278,0.0998,-0.1204,0.1352,-0.0389,0.0328,-0.1353,-0.0044,
SSB,0000764038,SouthState Corporation,regional_midcap,2020,2021,2022-02-25,2022-02-26,-0.0519,-0.0939,-0.102,-0.0856,-0.0315,0.0363,0.0389,0.0706,
SSB,0000764038,SouthState Corporation,regional_midcap,2021,2022,2023-02-24,2023-02-25,-0.1002,-0.1927,-0.1058,0.0433,0.1825,0.1484,0.1636,0.2461,
SSB,0000764038,SouthState Corporation,regional_midcap,2022,2023,2024-03-04,2024-03-05,-0.0575,-0.1127,0.1393,0.1186,-0.0383,-0.0724,-0.0184,-0.0815,
BANC,0001169770,Banc of California,regional_midcap,2019,2020,2021-02-26,2021-02-27,-0.0471,-0.0878,-0.0466,0.0338,-0.0582,-0.1549,-0.0615,-0.1059,
BANC,0001169770,Banc of California,regional_midcap,2020,2021,2022-03-01,2022-03-02,-0.0226,-0.0529,-0.1448,-0.1095,0.0335,0.078,-0.0076,0.0474,
BANC,0001169770,Banc of California,regional_midcap,2021,2022,2023-02-27,2023-02-28,-0.2715,-0.3593,-0.2727,-0.1401,0.0023,-0.018,-0.0114,0.0504,
BANC,0001169770,Banc of California,regional_midcap,2022,2023,2024-02-29,2024-03-01,0.0068,-0.0296,0.0032,0.0107,-0.0175,-0.0639,-0.2314,-0.2597,
COLB,0000887343,Columbia Banking System,regional_midcap,2019,2020,2021-02-26,2021-02-27,-0.025,-0.0381,-0.171,-0.1638,-0.0361,-0.1052,-0.1859,-0.3035,
COLB,0000887343,Columbia Banking System,regional_midcap,2020,2021,2022-02-25,2022-02-26,-0.0622,-0.1628,-0.163,-0.1495,-0.0419,-0.0326,-0.0222,0.0068,
COLB,0000887343,Columbia Banking System,regional_midcap,2021,2022,2023-02-24,2023-02-25,-0.3052,-0.3013,-0.2978,-0.3668,-0.0226,0.0398,-0.0284,-0.164,
COLB,0000887343,Columbia Banking System,regional_midcap,2022,2023,2024-02-27,2024-02-28,0.0895,0.0513,0.4467,0.5754,0.0223,0.0465,0.2216,0.2482,
